material_id,pretty_formula,band_gap
mp-759943,Al2O3,4.0645999999999995
mp-760139,Li2MnF4,4.0401
mp-7604,Mg3NF3,4.0633
mp-761038,Li5Ni2(PO4)3,4.0392
mp-762307,Y7HoO12,4.0498
mp-762329,Li7Sb2P7O24,4.0425
mp-762594,Na2In2P4H6O17,4.0732
mp-763098,Li2MnF4,4.0072
mp-764280,Li2MnF4,4.0152
mp-765476,Y13Ho3O24,4.0053
mp-766009,Y11Tm5O24,4.0603
mp-766175,RbInBP2HO9,4.0524
mp-766230,Rb2NaZn2H5(C2O7)2,4.0666
mp-766256,YTmO3,4.0595
mp-766267,Y7TmO12,4.0624
mp-766292,DyY7O12,4.0304
mp-766505,RbH2O2F,4.0306999999999995
mp-767431,Na3SrPCO7,4.052899999999999
mp-768152,NaZrPCO7,4.0071
mp-768234,La2HfO5,4.0102
mp-768488,Li3Mn(BO2)5,4.0052
mp-768633,Sr2LaCl7,4.0753
mp-769152,Sc(ClO4)3,4.0634
mp-769868,Li3BiH8O7,4.0167
mp-7703,DyTaO4,4.0271
mp-770413,LaHoO3,4.0237
mp-770648,Li8ZrO6,4.0226
mp-770720,Li4ZrO4,4.0617
mp-771043,Y2Zr2O7,4.0397
mp-771045,La2SiO5,4.0614
mp-771344,Li3FePCO7,4.010999999999999
mp-771387,Li6Mn2C4SO16,4.0745000000000005
mp-771828,Dy2Zr2O7,4.050199999999999
mp-771956,Tb2Zr2O7,4.0482
mp-772017,Ba3La2Cl12,4.0506
mp-772190,Li6Ti2O7,4.043
mp-772237,NaLi5Fe2P2(CO7)2,4.0463
mp-772274,NaLi5Fe2P2(CO7)2,4.0342
mp-772293,NaLi5Fe2P2(CO7)2,4.004300000000001
mp-772413,Al8SiO14,4.0639
mp-772633,SrSc2O4,4.038
mp-772636,NaLi5Fe2P2(CO7)2,4.023300000000001
mp-772760,Dy2Zr2O7,4.0492
mp-772780,K3BePCO7,4.0112
mp-772840,Sm2Ge2O7,4.0217
mp-775466,K2InSi4HO11,4.0312
mp-775757,HfO2,4.016500000000001
mp-776684,Li3FeF6,4.07
mp-777475,Li3FeF6,4.0089999999999995
mp-777481,Ba6YBr15,4.0156
mp-777485,Li2MnF4,4.0603
mp-777589,Li2MnF4,4.0321
mp-777730,Li3BiB8O15,4.0047
mp-777900,Li3FeF6,4.0707
mp-778991,LiMnP2HO7,4.020300000000001
mp-779001,Sr4Hf3O10,4.0727
mp-779358,Na3VO4,4.0157
